country_clean,case_number,year,mining_case,economy_classification
"Tanzania, United Republic Of",ARB/19/8,2019,No,Developing
Egypt,ARB/19/7,2019,Yes,Developing
Colombia,ARB/19/6,2019,No,Developing
Panama,ARB/19/5,2019,No,Developing
Spain,ARB/19/4,2019,No,Developed
Tajikistan,ARB(AF)/19/1,2019,No,Developing
Mexico,UNCT/18/4,2018,Yes,Developing
Rwanda,ARB/19/3,2019,No,Developing
Morocco,ARB/19/2,2019,No,Developing
Mexico,ARB/19/1,2019,Yes,Developing
"Venezuela, Bolivarian Republic Of",ARB/18/49,2018,No,Developing
Peru,ARB/18/48,2018,No,Developing
Bulgaria,ARB/18/47,2018,No,Developed
Türkiye,ARB/18/46,2018,Yes,Developing
Spain,ARB/18/45,2018,No,Developed
Algeria,ARB/18/44,2018,No,Developing
Guatemala,ARB/18/43,2018,Yes,Developing
Mexico,UNCT/18/5,2018,No,Developing
Spain,ARB/18/42,2018,No,Developed
"Venezuela, Bolivarian Republic Of",ARB(AF)/18/6,2018,No,Developing
Cyprus,ARB/18/41,2018,No,Developed
Honduras,ARB/18/40,2018,No,Developing
Dominican Republic,UNCT/18/3,2018,No,Developing
Sri Lanka,ARB/18/39,2018,No,Developing
Qatar,ARB/18/38,2018,No,Developing
Lithuania,ARB/18/37,2018,No,Developed
Gabon,ARB/18/36,2018,No,Developing
Turkmenistan,ARB/18/35,2018,No,Developing
Turkmenistan,ARB/18/34,2018,No,Developing
Spain,ARB/18/33,2018,No,Developed
Kazakhstan,ARB/18/32,2018,No,Developing
Egypt,ARB/18/31,2018,No,Developing
Colombia,UNCT/18/1,2017,No,Developing
Romania,ARB/18/30,2018,No,Developed
Morocco,ARB/18/29,2018,Yes,Developing
"Bolivia, Plurinational State Of",ARB(AF)/18/5,2018,No,Developing
Georgia,ADM/18/1 and SCC Case No. V2018/039,2018,No,Developing
Turkmenistan,ARB(AF)/18/4,2018,No,Developing
Armenia,ARB/18/28,2018,No,Developing
Peru,ARB/18/27,2018,No,Developing
Peru,ARB/18/26,2018,Yes,Developing
Peru,UNCT/18/2,2016,No,Developing
Spain,ARB/18/25,2018,No,Developed
Senegal,ARB/18/24,2018,Yes,Developing
Colombia,ARB/18/23,2018,Yes,Developing
Egypt,ARB/18/22,2018,Yes,Developing
Rwanda,ARB/18/21,2018,Yes,Developing
Italy,ARB/18/20,2018,No,Developed
Romania,ARB/18/19,2018,No,Developed
Türkiye,ARB/18/18,2018,Yes,Developing
Peru,ARB/18/17,2018,No,Developing
Togo,ARB/18/16,2018,No,Developing
Bangladesh,ARB/18/15,2018,No,Developing
Saudi Arabia,ARB/18/14,2018,No,Developing
Colombia,ARB/18/13,2018,Yes,Developing
Colombia,ARB/18/12,2018,Yes,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/18/3,2018,No,Developing
Algeria,ARB/18/11,2018,No,Developing
Gabon,CONC/18/1,2018,No,Developing
Gambia,ARB/18/10,2018,No,Developing
Belarus,ARB/18/9,2018,No,Developed
Serbia,ARB/18/8,2018,No,Developed
Viet Nam,ARB(AF)/18/2,2018,No,Developing
Morocco,ARB/18/7,2018,Yes,Developing
Azerbaijan,ARB/18/6,2018,No,Developing
Colombia,ARB/18/5,2018,No,Developing
Turkey,ARB/18/4,2018,No,Developing
Colombia,ARB/18/3,2018,No,Developing
Kuwait,ARB/18/2,2018,No,Developing
Bulgaria,ARB/18/1,2018,No,Developed
Belarus,ARB(AF)/18/1,2018,No,Developed
Croatia,ARB/17/49,2017,No,Developed
Côte D'Ivoire,ARB/17/48,2017,No,Developing
Latvia,ARB/17/47,2017,No,Developed
North Macedonia,ARB/17/46,2017,No,Developed
Hungary,ARB/17/45,2017,No,Developed
Nicaragua,ARB/17/44,2017,Yes,Developing
Saudi Arabia,ARB/17/43,2017,No,Developing
Saudi Arabia,ARB/17/42,2017,No,Developing
Spain,ARB/17/41,2017,No,Developed
Gambia,ARB/17/40,2017,Yes,Developing
Gambia,ARB/17/39,2017,Yes,Developing
Gambia,ARB/17/38,2017,Yes,Developing
Croatia,ARB/17/37,2017,No,Developed
Armenia,ARB/17/36,2017,No,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/17/4,2017,No,Developing
Montenegro,ARB/17/35,2017,No,Developed
Mexico,ARB(AF)/17/3,2017,No,Developing
Croatia,ARB/17/34,2017,No,Developed
"Tanzania, United Republic Of",ARB/17/33,2017,No,Developing
Croatia,ARB/17/32,2017,No,Developed
Egypt,ARB/17/31,2017,No,Developing
Turkmenistan,ARB/17/30,2017,No,Developing
Georgia,ARB/17/29,2017,No,Developing
Mexico,ARB(AF)/17/2,2017,No,Developing
Madagascar,ARB/17/28,2017,No,Developing
Hungary,ARB/17/27,2017,No,Developed
Papua New Guinea,ARB/17/26,2017,Yes,Developing
Kosovo,ARB/17/25,2017,No,Developed
Uzbekistan,ARB/17/24,2017,No,Developing
Mozambique,ARB/17/23,2017,No,Developing
Kazakhstan,ARB/17/22,2017,Yes,Developing
Belgium,ARB/17/21,2017,No,Developed
United Arab Emirates,ARB/17/20,2017,No,Developing
Mexico,UNCT/17/1,2016,No,Developing
China,ARB/17/19,2017,No,Developing
Madagascar,ARB/17/18,2017,No,Developing
Argentina,ARB/17/17,2017,No,Developing
Chile,ARB/17/16,2017,No,Developing
Spain,ARB/17/15,2017,No,Developed
