,caseid,caseno,claimant,isapproved,respondent,status,isapproved,dateregistered,isapproved,country_clean,country_iso3,extraction_method,registration_year,registration_month,registration_day,miningcase
98,100,ARB/24/42,Aqua Power and Catalysis Capital Ltd,Y,United Republic of Tanzania,Pending,Y,2024-10-09 00:00:00,Y,"Tanzania, United Republic of",TZA,pycountry,2024,10,9,No
99,101,ARB/24/41,TMA Australia Pty Ltd and others,Y,Republic of the Philippines,Pending,Y,2024-09-23 00:00:00,Y,Philippines,PHL,pycountry,2024,9,23,No
100,102,ARB/24/40,Minas de Revuboè Limitada,Y,Republic of Mozambique,Concluded,Y,2024-09-09 00:00:00,Y,Mozambique,MOZ,pycountry,2024,9,9,Yes
102,104,ARB/24/38,Sauna UK BidCo Limited,Y,Republic of Finland,Pending,Y,2024-08-23 00:00:00,Y,Finland,FIN,pycountry,2024,8,23,No
103,105,ARB/24/37,"Suomi Power Networks TopCo B.V., Supernova II Bidco BV and AMF Tjänstepension AB",Y,Republic of Finland ,Pending,Y,2024-08-23 00:00:00,Y,Finland,FIN,pycountry,2024,8,23,No
104,106,ARB/24/36,PETRONAS International Corporation Ltd,Y,Republic of South Sudan,Pending,Y,2024-08-23 00:00:00,Y,South Sudan,SSD,pycountry,2024,8,23,Yes
105,107,ARB/24/35,CTF Holdings S.A.,Y,Ukraine,Pending,Y,2024-08-16 00:00:00,Y,Ukraine,UKR,pycountry,2024,8,16,No
106,108,ARB/24/34,International Container Terminal Services Inc.,Y,Republic of Honduras,Pending,Y,2024-08-16 00:00:00,Y,Honduras,HND,pycountry,2024,8,16,No
107,109,ARB/24/33,"Operadora Portuaria Centroamericana, S.A. de C.V.",Y,Republic of Honduras,Pending,Y,2024-08-16 00:00:00,Y,Honduras,HND,pycountry,2024,8,16,No
108,110,ARB/24/32,Víctor Miguel Silhy Zacarías,Y,Republic of Honduras,Pending,Y,2024-08-08 00:00:00,Y,Honduras,HND,pycountry,2024,8,8,No
109,111,ARB/24/31,X-Elio Energy S.L.,Y,Republic of Honduras,Pending,Y,2024-08-08 00:00:00,Y,Honduras,HND,pycountry,2024,8,8,No
110,112,ARB/24/30,NC Telecom AS and others,Y,Republic of Chile,Concluded,Y,2024-08-02 00:00:00,Y,Chile,CHL,pycountry,2024,8,2,No
111,113,ARB/24/29,Gasoducto Sur Peruano S.A. En Liquidación,Y,Republic of Peru,Pending,Y,2024-07-30 00:00:00,Y,Peru,PER,pycountry,2024,7,30,Yes
112,114,ARB/24/28,Qatar National Bank (Q.P.S.C),Y,Republic of the Sudan and Central Bank of Sudan,Pending,Y,2024-07-24 00:00:00,Y,Sudan,SDN,embedded_pycountry,2024,7,24,No
113,115,ARB/24/27,Orla Mining Ltd.,Y,Republic of Panama ,Pending,Y,2024-07-19 00:00:00,Y,Panama,PAN,pycountry,2024,7,19,Yes
114,116,ARB(AF)/24/2,"Warburg Pincus (Cayman) XII GP LLC, Gemini Polska sp. z o.o. and Polish Pharmacies sp. z o.o.",Y,Republic of Poland,Pending,Y,2024-07-18 00:00:00,Y,Poland,POL,pycountry,2024,7,18,No
115,117,ARB/24/26,Franco-Nevada Corporation,Y,Republic of Panama,Pending,Y,2024-07-12 00:00:00,Y,Panama,PAN,pycountry,2024,7,12,Yes
116,118,ARB/24/25,Continental Gold Inc.,Y,Republic of Colombia,Pending,Y,2024-07-12 00:00:00,Y,Colombia,COL,pycountry,2024,7,12,Yes
117,119,ARB/24/24,Eléctricas de Medellín Ingeniería y Servicios S.A.S.,Y,Republic of Honduras,Pending,Y,2024-07-02 00:00:00,Y,Honduras,HND,pycountry,2024,7,2,No
118,120,ARB/24/22,Berkeley Exploration Ltd.,Y,Kingdom of Spain,Pending,Y,2024-06-27 00:00:00,Y,Spain,ESP,pycountry,2024,6,27,Yes
119,121,ARB/24/23,Almaden Minerals Ltd. and Almadex Minerals Ltd.,Y,United Mexican States,Pending,Y,2024-06-27 00:00:00,Y,Mexico,MEX,pycountry,2024,6,27,Yes
120,122,ARB/24/21,"Bacanora Lithium Limited, Sonora Lithium Ltd., and Ganfeng International Trading (Shanghai) Co. Ltd.",Y,United Mexican States,Pending,Y,2024-06-21 00:00:00,Y,Mexico,MEX,pycountry,2024,6,21,Yes
121,124,ARB/24/20,Walnort Finance Limited,Y,Republic of Armenia,Pending,Y,2024-06-21 00:00:00,Y,Armenia,ARM,pycountry,2024,6,21,Yes
122,125,ARB/24/19,MOL Hungarian Oil and Gas Public Limited Company,Y,Republic of Croatia,Pending,Y,2024-06-20 00:00:00,Y,Croatia,HRV,pycountry,2024,6,20,Yes
123,126,ARB/24/18,Eurohold Bulgaria AD and Euroins Insurance Group AD,Y,Romania,Pending,Y,2024-06-07 00:00:00,Y,Romania,ROU,pycountry,2024,6,7,No
124,127,ARB/24/17,NiQuan Energy LLC and NiQuan Energy Trinidad Limited,Y,Republic of Trinidad and Tobago,Pending,Y,2024-05-31 00:00:00,Y,Trinidad and Tobago,TTO,pycountry,2024,5,31,Yes
125,128,ARB/24/16,Spentech Engineering Limited,Y,United Arab Emirates,Pending,Y,2024-05-24 00:00:00,Y,United Arab Emirates,ARE,pycountry,2024,5,24,No
126,130,ARB/24/15,Djamel Ben Ferha,Y,Kingdom of Belgium,Pending,Y,2024-05-24 00:00:00,Y,Belgium,BEL,pycountry,2024,5,24,No
127,131,ARB/24/14,Neltume Ports S.A.,Y,Oriental Republic of Uruguay,Pending,Y,2024-05-23 00:00:00,Y,Uruguay,URY,embedded_pycountry,2024,5,23,No
128,132,ARB/24/13,Lotus Proje Akaryakıt Enerji Madencilik Telekominikasyon İnşaat Sanayi Taah. Ve Tic. A.Ş.,Y,Turkmenistan,Concluded,Y,2024-05-20 00:00:00,Y,Turkmenistan,TKM,pycountry,2024,5,20,No
129,133,ARB/24/12,Petaquilla Minerals Ltd.,Y,Republic of Panama,Pending,Y,2024-05-16 00:00:00,Y,Panama,PAN,pycountry,2024,5,16,Yes
130,134,ARB/24/11,ATCO Ltd.,Y,Oriental Republic of Uruguay,Pending,Y,2024-05-09 00:00:00,Y,Uruguay,URY,embedded_pycountry,2024,5,9,No
